Designator,Mid X,Mid Y,Layer,Rotation
+5V,10.16,31.12,Top,180.0
C5,13.97,11.11,Top,180.0
C9,16.19,32.07,Top,180.0
C10,16.19,30.16,Top,0.0
C11,16.51,27.62,Top,270.0
C12,17.78,27.62,Top,90.0
C13,16.19,23.50,Top,0.0
CS,21.75,23.34,Top,0.0
DA1,14.92,17.46,Top,270.0
IC2,21.59,15.88,Top,90.0
IC5,23.50,29.37,Top,270.0
Q3,32.38, 6.03,Top,270.0
Q4,32.38,16.19,Top,270.0
Q5,32.38,26.35,Top,270.0
R2,25.72,22.86,Top,90.0
R3,34.29,11.11,Top,180.0
R4,34.29,21.27,Top,180.0
R5,34.29,31.43,Top,180.0
R9,30.48,11.11,Top,180.0
R10,30.48,21.27,Top,180.0
R11,30.48,31.43,Top,180.0
R15,12.70,31.75,Top,180.0
R16,14.45,27.62,Top,270.0
R17,12.18,27.70,Top,270.0
RX, 8.10,31.12,Top,180.0
TX, 5.91,31.12,Top,0.0
